"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid_24","NPCMasterKey","ShortName","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32_64","NPCAudios1","NPCAudios2","HASH16","row_102","Portrait","DialogueStyle","rid_142","Gender","bool_166","string_167","rid_175"
0,"Metadata/NPC/Oba","Oba","Oba","Oba","オバ","오바","Oba","Оба","Oba","โอบะ","歐霸","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],8075,"","","","","M",1,"",""
1,"Metadata/NPC/Missions/Wild/Fish","Krillson, Master Fisherman","Krillson, Maître-pêcheur","Krillson, Meisterfischer","マスターフィッシャーマン、クリルソン","낚시의 대가 크릴슨","Krillson, Mestre Pescador","Криллсон, мастер рыбной ловли","Krillson, Maestro pescador","คริลล์สัน, มาสเตอร์แห่งการตกปลา","釣魚大師克里爾森","Metadata/NPC/NPC",4626,"","Krillson","Krillson","Krillson","クリルソン","크릴슨","Krillson","Крилсон","Krillson","คริลล์สัน","克里爾森",0,[],[],-2457,"","","","","M",1,"",""
2,"Metadata/NPC/Rigwald","Rigwald","Rigwald","Rigwald","リグワルド","리그월드","Rigwald","Ригвальд","Rigwald","ริกวอลด์","瑞佛","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-16610,"","","","","M",1,"",""
3,"Metadata/NPC/Info/RigwaldGlyph1","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],10751,"","","","","",1,"",""
4,"Metadata/NPC/Info/RigwaldGlyph2","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-29519,"","","","","",1,"",""
5,"Metadata/NPC/Info/RigwaldGlyph3","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-10413,"","","","","",1,"",""
6,"Metadata/NPC/Info/RigwaldGlyph4","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-3791,"","","","","",1,"",""
7,"Metadata/NPC/Info/RigwaldGlyph5","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-18753,"","","","","",1,"",""
8,"Metadata/NPC/Info/RigwaldGlyph6","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],4555,"","","","","",1,"",""
9,"Metadata/NPC/League/Perandus/Cadiro","Cadiro Perandus","Cadiro Pérandus","Cadiro Perandus","カディーロ・ペランダス","카디로 페란두스","Cadiro Perandus","Кадиро Перандус","Cadiro Perandus","คาดิโร เพแรนดัส","卡迪羅．普蘭德斯","Metadata/NPC/NPC","","","Cadiro","Cadiro","Cadiro","カディーロ","카디로","Cadiro","Кадиро","Cadiro","คาดิโร","卡迪羅",0,[55],[56],3122,"","","",0,"M",1,"",27
10,"Metadata/NPC/League/Prophecy/Navali","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",-1,[57],[58],2831,"","","","","F",1,"",""
11,"Metadata/NPC/League/Prophecy/ProphecyDarkTome","Dark Tome","Tome interdit","Dunkler Foliant","闇の学術書","어둠의 서","Tomo Sombrio","Тёмная книга","Tomo oscuro","คัมภีร์มืดมิด","黑暗之書","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],30638,"","","","","",1,"",""
12,"Metadata/NPC/RigwaldMap","The Cursed King","Le Roi maudit","Der verfluchte König","呪われた王","저주받은 왕","O Rei Amaldiçoado","Проклятый монарх","El rey maldito","ราชันผู้ต้องสาป","詛咒之王","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-6653,"","","","","M",1,"",""
13,"Metadata/NPC/RigwaldMapSimplified","Lycius, Midnight's Howl","Lycius, le Hurlement de minuit","Lycius, Mitternachtsheulen","真夜中の遠吠え、ライシアス","한밤의 울부짖음 리시우스","Lycius, Uivo do Luar","Луций, Полуночный вой","Lycius, Aullido de medianoche","ไลเชียส เสียงหอนแห่งรัตติกาล","利希斯嘯夜","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],1246,"","","","","M",1,"",""
14,"Metadata/NPC/League/Prophecy/NavaliWild","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",1,[57],[58],-21016,"","","","","F",1,"",""
15,"Metadata/NPC/League/Prophecy/NavaliHideout","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",-1,[57],[58],16710,"","","","","F",1,"",""
16,"Metadata/NPC/League/Bestiary/EinharHideout","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",0,[75],[76],-8654,"","",1,1,"M",1,"",5
17,"Metadata/Monsters/Masters/Einhar","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[],[],-3485,"","","","","M",1,"",5
18,"Metadata/NPC/League/Bestiary/Einhar","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],-27857,"","",1,1,"M",1,"",5
19,"Metadata/NPC/League/Bestiary/EinharWild","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],-13913,"","","",1,"M",1,"",5
20,"Metadata/NPC/League/Bestiary/EinharMenagerie","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],8793,"","","",1,"M",1,"",5
21,"Metadata/NPC/Epilogue/ZanaElderMid","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],17719,"","","","","F",1,"",""
